表章項目 コード,表章項目,時間軸 コード,時間軸,全国、都道府県、21大都市 コード,全国、都道府県、21大都市,腐朽・破損の有無 コード,腐朽・破損の有無,住宅の建て方 コード,住宅の建て方,建物の構造 コード,建物の構造,賃貸・売却用及び二次的住宅を除く空き家
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,1.0,一戸建,1.0,木造,106300.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,1.0,一戸建,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,2.0,長屋建,1.0,木造,7800.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,2.0,長屋建,2.0,非木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,3.0,共同住宅,1.0,木造,12600.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,0.0,総数,3.0,共同住宅,2.0,非木造,28400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,29500.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,1100.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,3100.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,3900.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,76700.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,2800.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,4700.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,2600.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,9400.0
03-2023,空き家数【戸】,2023000000.0,2023年,1000.0,北海道,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,24500.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,1.0,一戸建,1.0,木造,47100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,1.0,一戸建,2.0,非木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,2.0,長屋建,1.0,木造,1300.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,3.0,共同住宅,1.0,木造,2200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,0.0,総数,3.0,共同住宅,2.0,非木造,3000.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,1.0,一戸建,1.0,木造,14900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,1.0,一戸建,2.0,非木造,300.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,2.0,長屋建,1.0,木造,500.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,3.0,共同住宅,1.0,木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,1.0,腐朽・破損あり,3.0,共同住宅,2.0,非木造,400.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,1.0,一戸建,1.0,木造,32200.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,1.0,一戸建,2.0,非木造,600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,2.0,長屋建,2.0,非木造,100.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,3.0,共同住宅,1.0,木造,1600.0
03-2023,空き家数【戸】,2023000000.0,2023年,2000.0,青森県,2.0,腐朽・破損なし,3.0,共同住宅,2.0,非木造,2600.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,1.0,一戸建,1.0,木造,46200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,1.0,一戸建,2.0,非木造,700.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,2.0,長屋建,1.0,木造,900.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,2.0,長屋建,2.0,非木造,200.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,3.0,共同住宅,1.0,木造,1800.0
03-2023,空き家数【戸】,2023000000.0,2023年,3000.0,岩手県,0.0,総数,3.0,共同住宅,2.0,非木造,4200.0
